,precision,recall,f1-score,support
73202000,0.7605633802816901,0.54,0.631578947368421,200.0
73239300,0.9547738693467337,0.95,0.9523809523809523,200.0
73261900,0.8425925925925926,0.455,0.5909090909090909,200.0
73269000,0.7547169811320755,0.4,0.5228758169934641,200.0
76072010,1.0,0.995,0.9974937343358395,200.0
76129000,0.9848484848484849,0.975,0.9798994974874372,200.0
76151000,0.9848484848484849,0.975,0.9798994974874372,200.0
76169990,0.9121951219512195,0.935,0.9234567901234568,200.0
82023900,0.98989898989899,0.98,0.9849246231155779,200.0
82032000,0.8454545454545455,0.93,0.8857142857142857,200.0
82055900,0.8181818181818182,0.63,0.711864406779661,200.0
82071390,0.9840425531914894,0.925,0.9536082474226805,200.0
82071990,0.9455445544554455,0.955,0.9502487562189055,200.0
82075010,0.934010152284264,0.92,0.9269521410579346,200.0
82075090,0.9453551912568307,0.865,0.9033942558746736,200.0
82079000,0.9203980099502488,0.925,0.9226932668329177,200.0
82089000,0.7696078431372549,0.785,0.7772277227722773,200.0
82090000,0.9846938775510204,0.965,0.9747474747474747,200.0
82142000,0.9095238095238095,0.955,0.9317073170731708,200.0
83014000,0.8817733990147784,0.895,0.8883374689826302,200.0
83021000,0.6709677419354839,0.52,0.5859154929577465,200.0
83023000,0.49101796407185627,0.41,0.44686648501362397,200.0
83024900,0.7808988764044944,0.695,0.7354497354497355,200.0
83071000,0.4212121212121212,0.695,0.5245283018867924,200.0
83112000,1.0,0.995,0.9974937343358395,200.0
84099190,0.6794871794871795,0.265,0.381294964028777,200.0
84099990,0.5595238095238095,0.47,0.5108695652173914,200.0
84122100,0.8920454545454546,0.785,0.8351063829787234,200.0
84122900,0.8516483516483516,0.775,0.8115183246073299,200.0
84123100,0.8333333333333334,0.775,0.8031088082901554,200.0
84129000,0.8277511961722488,0.865,0.8459657701711492,200.0
84133090,0.5490196078431373,0.42,0.47592067988668557,200.0
84135000,0.9554140127388535,0.75,0.8403361344537815,200.0
84136000,0.9197530864197531,0.745,0.8232044198895028,200.0
84137000,0.782608695652174,0.81,0.7960687960687961,200.0
84138100,0.6781609195402298,0.59,0.6310160427807486,200.0
84139100,0.7719298245614035,0.88,0.822429906542056,200.0
84145900,0.6324324324324324,0.585,0.6077922077922078,200.0
84148090,0.8627450980392157,0.66,0.7478753541076487,200.0
84149000,0.8285714285714286,0.725,0.7733333333333333,200.0
84159000,0.8841463414634146,0.725,0.7967032967032966,200.0
84185000,0.8794642857142857,0.985,0.9292452830188679,200.0
84189900,0.8310502283105022,0.91,0.8687350835322196,200.0
84199090,0.8877551020408163,0.87,0.8787878787878788,200.0
84212100,0.8341463414634146,0.855,0.8444444444444444,200.0
84212300,0.6551724137931034,0.57,0.6096256684491979,200.0
84212990,0.7816091954022989,0.68,0.7272727272727273,200.0
84213110,0.5879396984924623,0.585,0.5864661654135338,200.0
84213190,0.631578947368421,0.66,0.6454767726161369,200.0
84213900,0.72,0.72,0.72,200.0
84219900,0.8589743589743589,0.67,0.7528089887640449,200.0
84229000,0.575187969924812,0.765,0.6566523605150214,200.0
84312000,0.9234449760765551,0.965,0.9437652811735942,200.0
84313100,0.9523809523809523,1.0,0.975609756097561,200.0
84314320,0.20396039603960395,0.515,0.29219858156028367,200.0
84314390,0.5802469135802469,0.705,0.636568848758465,200.0
84314900,0.46179401993355484,0.695,0.5548902195608783,200.0
84389000,0.9045226130653267,0.9,0.9022556390977443,200.0
84433110,0.9512195121951219,0.975,0.9629629629629629,200.0
84433120,0.9554455445544554,0.965,0.9601990049751243,200.0
84433900,0.9898477157360406,0.975,0.982367758186398,200.0
84439100,0.8949771689497716,0.98,0.9355608591885441,200.0
84439930,0.945273631840796,0.95,0.9476309226932669,200.0
84439990,0.8584905660377359,0.91,0.883495145631068,200.0
84661000,0.9077669902912622,0.935,0.9211822660098522,200.0
84669300,0.8901734104046243,0.77,0.8257372654155496,200.0
84672110,0.8793969849246231,0.875,0.8771929824561403,200.0
84672220,0.9471153846153846,0.985,0.9656862745098039,200.0
84672920,0.9223300970873787,0.95,0.9359605911330049,200.0
84672990,0.9368421052631579,0.89,0.9128205128205128,200.0
84679900,0.7450980392156863,0.95,0.8351648351648352,200.0
84689000,0.9411764705882353,0.96,0.9504950495049505,200.0
84713040,0.98,0.98,0.98,200.0
84715000,0.847926267281106,0.92,0.882494004796163,200.0
84716040,0.8797814207650273,0.805,0.8407310704960835,200.0
84716090,0.8133971291866029,0.85,0.8312958435207825,200.0
84717000,0.9203980099502488,0.925,0.9226932668329177,200.0
84718000,0.9175257731958762,0.89,0.9035532994923858,200.0
84733000,0.6198347107438017,0.75,0.6787330316742082,200.0
84749010,0.8125,0.845,0.8284313725490197,200.0
84749090,0.6488888888888888,0.73,0.6870588235294117,200.0
84779000,0.710204081632653,0.87,0.7820224719101123,200.0
84798990,0.8159509202453987,0.665,0.7327823691460055,200.0
84799000,0.37209302325581395,0.72,0.4906303236797274,200.0
