,precision,recall,f1-score,support
84779000,0.6867219917012448,0.8275,0.7505668934240363,400.0
84798990,0.6627906976744186,0.7125,0.6867469879518072,400.0
84799000,0.5202863961813843,0.545,0.5323565323565324,400.0
84811000,0.5885714285714285,0.515,0.5493333333333333,400.0
84812010,0.7953795379537953,0.6025,0.6856330014224751,400.0
84814000,0.21345407503234154,0.4125,0.2813299232736573,400.0
84818090,0.4090909090909091,0.405,0.40703517587939697,400.0
84819000,0.8419618528610354,0.7725,0.8057366362451108,400.0
84821010,0.9551820728291317,0.8525,0.9009247027741083,400.0
84821090,0.7547169811320755,0.6,0.6685236768802229,400.0
84822000,0.9002770083102493,0.8125,0.8541392904073587,400.0
84823000,0.9187817258883249,0.905,0.9118387909319899,400.0
84825000,0.9863760217983651,0.905,0.9439374185136897,400.0
84829900,0.7704918032786885,0.8225,0.7956469165659008,400.0
84831090,0.4174454828660436,0.335,0.37170596393897365,400.0
84833010,0.41312741312741313,0.2675,0.32473444613050073,400.0
84833020,0.39937106918238996,0.3175,0.35376044568245124,400.0
84834011,0.42731277533039647,0.2425,0.3094098883572568,400.0
84835000,0.43373493975903615,0.09,0.14906832298136646,400.0
84836000,0.4013921113689095,0.4325,0.41636582430806257,400.0
84839000,0.6395348837209303,0.4125,0.5015197568389058,400.0
84841000,0.9010416666666666,0.4325,0.5844594594594594,400.0
84842000,0.6567567567567567,0.6075,0.6311688311688312,400.0
84849000,0.6308900523560209,0.6025,0.6163682864450127,400.0
84879010,0.608058608058608,0.415,0.4933135215453195,400.0
84879090,0.77,0.77,0.77,400.0
85011000,0.8584070796460177,0.7275,0.7875507442489851,400.0
85013100,0.9003115264797508,0.7225,0.8016643550624133,400.0
85015100,0.8880597014925373,0.8925,0.8902743142144638,400.0
85030090,0.9316939890710383,0.8525,0.8903394255874674,400.0
85043100,0.9706666666666667,0.91,0.9393548387096774,400.0
85044000,0.6685552407932012,0.59,0.6268260292164675,400.0
85071010,0.9865951742627346,0.92,0.9521345407503234,400.0
85072000,0.9318734793187348,0.9575,0.9445129469790382,400.0
85076000,0.8858695652173914,0.815,0.8489583333333334,400.0
85078000,0.8284182305630027,0.7725,0.7994825355756792,400.0
85081100,0.9800498753117207,0.9825,0.9812734082397003,400.0
85111000,0.6658291457286433,0.6625,0.6641604010025063,400.0
85114000,0.6361556064073226,0.695,0.6642771804062126,400.0
85115000,0.7945736434108527,0.5125,0.6231003039513677,400.0
85118000,0.8291316526610645,0.74,0.7820343461030383,400.0
85122000,0.1564625850340136,0.115,0.13256484149855907,400.0
85129000,0.6666666666666666,0.33,0.4414715719063545,400.0
85159000,0.9009661835748792,0.9325,0.9164619164619164,400.0
85171300,0.9924812030075187,0.99,0.9912390488110138,400.0
85176210,0.6973684210526315,0.795,0.7429906542056075,400.0
85176290,0.5828025477707006,0.4575,0.5126050420168067,400.0
85176900,0.7548209366391184,0.685,0.7182175622542595,400.0
85181000,0.8310185185185185,0.8975,0.8629807692307693,400.0
85182100,0.9051094890510949,0.93,0.9173859432799013,400.0
85182200,0.9201995012468828,0.9225,0.9213483146067416,400.0
85182900,0.8861386138613861,0.895,0.8905472636815921,400.0
85183000,0.9587912087912088,0.8725,0.9136125654450262,400.0
85219090,0.9365482233502538,0.9225,0.929471032745592,400.0
85234990,0.9518072289156626,0.9875,0.9693251533742331,400.0
85235100,0.8880407124681934,0.8725,0.880201765447667,400.0
85235200,0.8940568475452196,0.865,0.8792884371029225,400.0
85258900,0.9416445623342176,0.8875,0.9137709137709138,400.0
85269100,0.7735849056603774,0.9225,0.8415051311288484,400.0
85271300,0.9875621890547264,0.9925,0.9900249376558603,400.0
85272110,0.9920844327176781,0.94,0.9653401797175867,400.0
85279190,0.9632352941176471,0.9825,0.9727722772277227,400.0
85285910,0.8533007334963325,0.8725,0.8627935723114957,400.0
85286900,0.9633507853403142,0.92,0.9411764705882353,400.0
85287220,0.9873737373737373,0.9775,0.9824120603015075,400.0
85291000,0.6727748691099477,0.6425,0.6572890025575447,400.0
85299000,0.8386308068459658,0.8575,0.8479604449938195,400.0
85318000,0.9060052219321149,0.8675,0.8863346104725415,400.0
85361010,0.7201946472019465,0.74,0.7299630086313194,400.0
85362000,0.7390396659707724,0.885,0.8054607508532423,400.0
85364999,0.6273764258555133,0.825,0.712742980561555,400.0
85365010,0.7853403141361257,0.75,0.7672634271099744,400.0
85365090,0.5211864406779662,0.3075,0.3867924528301887,400.0
85366900,0.7666666666666667,0.7475,0.7569620253164557,400.0
85369013,0.5139318885448917,0.415,0.45919778699861685,400.0
85369019,0.7365967365967366,0.79,0.7623642943305187,400.0
85369090,0.717032967032967,0.6525,0.6832460732984293,400.0
85371000,0.6033519553072626,0.54,0.5699208443271768,400.0
85381000,0.7543859649122807,0.86,0.8037383177570093,400.0
85389000,0.6713286713286714,0.48,0.5597667638483965,400.0
85423100,0.7032967032967034,0.8,0.7485380116959064,400.0
85437090,0.7929936305732485,0.6225,0.6974789915966386,400.0
85442000,0.9248704663212435,0.8925,0.9083969465648855,400.0
85443000,0.6382978723404256,0.45,0.5278592375366569,400.0
85444200,0.8979057591623036,0.8575,0.8772378516624041,400.0
85447000,0.9716494845360825,0.9425,0.9568527918781726,400.0
86090000,0.9658536585365853,0.99,0.9777777777777777,400.0
87032291,0.9975062344139651,1.0,0.9987515605493134,400.0
87042121,0.9974937343358395,0.995,0.9962453066332916,400.0
87042271,0.9949622166246851,0.9875,0.9912170639899623,400.0
87043121,0.9974937343358395,0.995,0.9962453066332916,400.0
87081000,0.2074074074074074,0.07,0.10467289719626169,400.0
87082930,0.07330123060460139,0.3425,0.12075804319083297,400.0
87082960,0.42,0.0525,0.09333333333333334,400.0
87082970,0.0,0.0,0.0,400.0
87082990,0.0,0.0,0.0,400.0
87083010,0.8786127167630058,0.38,0.5305410122164049,400.0
87083020,0.33192389006342493,0.3925,0.35967926689576174,400.0
87083090,0.283987915407855,0.235,0.25718194254445964,400.0
87084000,0.5739130434782609,0.165,0.2563106796116505,400.0
87085000,0.2725490196078431,0.3475,0.3054945054945055,400.0
87087020,0.5811965811965812,0.17,0.26305609284332687,400.0
87088090,0.6123348017621145,0.3475,0.4433811802232855,400.0
87089100,0.9024390243902439,0.0925,0.16780045351473924,400.0
87089390,0.6391752577319587,0.31,0.4175084175084175,400.0
87089400,0.2082758620689655,0.3775,0.26844444444444443,400.0
87089990,0.36,0.2475,0.29333333333333333,400.0
87120030,0.9679012345679012,0.98,0.9739130434782609,400.0
87168090,0.8690476190476191,0.9125,0.8902439024390244,400.0
90013010,1.0,1.0,1.0,400.0
90021190,0.9777227722772277,0.9875,0.9825870646766169,400.0
90031100,0.9799498746867168,0.9775,0.9787234042553191,400.0
90041090,0.9567430025445293,0.94,0.9482976040353089,400.0
90049080,0.8914141414141414,0.8825,0.8869346733668342,400.0
90138000,0.9301745635910225,0.9325,0.9313358302122348,400.0
90158000,0.8877805486284289,0.89,0.8888888888888888,400.0
90159000,0.9387755102040817,0.92,0.9292929292929293,400.0
90183910,0.8098434004474273,0.905,0.8547815820543093,400.0
90183920,0.9802955665024631,0.995,0.9875930521091811,400.0
90183930,0.9328358208955224,0.9375,0.9351620947630923,400.0
90183940,0.9682926829268292,0.9925,0.980246913580247,400.0
90183990,0.8011363636363636,0.705,0.75,400.0
90189089,0.7817745803357314,0.815,0.7980416156670747,400.0
90189090,0.7804878048780488,0.8,0.7901234567901234,400.0
90192090,0.924812030075188,0.9225,0.9236545682102628,400.0
90211000,0.8967254408060453,0.89,0.8933500627352572,400.0
90212910,0.9975,0.9975,0.9975,400.0
90213110,0.8611111111111112,0.8525,0.8567839195979899,400.0
90213120,0.9215189873417722,0.91,0.9157232704402516,400.0
90213190,0.8018223234624146,0.88,0.8390941597139452,400.0
90213920,0.9925187032418953,0.995,0.9937578027465668,400.0
90213990,0.8246575342465754,0.7525,0.7869281045751634,400.0
90230000,0.966321243523316,0.9325,0.9491094147582697,400.0
9023090,0.9949367088607595,0.9825,0.9886792452830189,400.0
90261090,0.7097701149425287,0.6175,0.660427807486631,400.0
90262090,0.7168367346938775,0.7025,0.7095959595959596,400.0
90269000,0.8791208791208791,0.8,0.837696335078534,400.0
90278999,0.9472361809045227,0.9425,0.9448621553884712,400.0
90279090,0.8804878048780488,0.9025,0.891358024691358,400.0
90318090,0.6443768996960486,0.53,0.5816186556927297,400.0
90328900,0.7774086378737541,0.585,0.6676176890156919,400.0
90329000,0.8903743315508021,0.8325,0.8604651162790697,400.0
94029090,0.9675810473815462,0.97,0.968789013732834,400.0
94032090,0.8253164556962025,0.815,0.820125786163522,400.0
94036090,0.9546599496221663,0.9475,0.9510664993726474,400.0
95045000,0.9567430025445293,0.94,0.9482976040353089,400.0
95062900,0.9445910290237467,0.895,0.9191270860077022,400.0
95066210,0.9656019656019657,0.9825,0.9739776951672863,400.0
95067000,0.9608355091383812,0.92,0.9399744572158365,400.0
95069100,0.9052369077306733,0.9075,0.9063670411985019,400.0
95069910,0.9051282051282051,0.8825,0.8936708860759494,400.0
95069990,0.8733509234828496,0.8275,0.8498074454428755,400.0
96033000,0.9393203883495146,0.9675,0.9532019704433498,400.0
96190090,0.6882022471910112,0.6125,0.6481481481481481,400.0
accuracy,0.757953488372093,0.757953488372093,0.757953488372093,0.757953488372093
macro avg,0.7816659057877697,0.757953488372093,0.7606561265399113,172000.0
weighted avg,0.7816659057877696,0.757953488372093,0.7606561265399112,172000.0
